Occupation,Cap,Read,CI,WEI,PEI,CI_norm,WEI_norm,PEI_norm,EconomicExposure,AIPS
"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",2.259807714929085,0.29229221281172285,8.6475308557953,664225.281649106,258793.17951367883,0.23674247657084957,0.08350310732788915,0.5205770960683225,0.2802742266556871,0.18512790864886292
Biofuels Production Managers,2.331234968235051,0.4010023742874827,9.209349472431883,170599.77497544105,181743.0781236046,0.28470502053042335,0.020423318477695997,0.2819776520820159,0.1957019970300451,0.182948246085639
Human Resources Specialists,2.256789471005727,0.2870311649774708,9.415777030930094,2070514.068068914,179933.8245232866,0.3023277737745407,0.2632110002759756,0.2763749741454791,0.2806379160653318,0.18178851726699716
Supply Chain Managers,2.347739186293403,0.37310646738357583,9.382953088856704,171807.55365295123,183029.74696343372,0.29952558865998113,0.02057765901100534,0.285962052676423,0.20202176678246983,0.17696231493383527
Advertising and Promotions Managers,1.98579070847431,0.32125965731241746,7.363589034098342,41900.18394880794,296418.97905396024,0.12713216064123412,0.00397695799326249,0.6370921257423505,0.256067081458949,0.16335913219439754
"Purchasing Agents, Except Wholesale, Retail, and Farm Products",2.3187581394911163,0.31314560749774156,9.289677346213884,169686.72064795988,180770.38455472744,0.2915626237912644,0.020306640402094966,0.27896553216891945,0.1969449321207596,0.1430034731888968
Sustainability Specialists,2.3215618605652963,0.30442812246935946,9.311283893698654,169891.89695616838,180988.96264967052,0.2934071781596421,0.020332859627041563,0.2796423984024495,0.1977941453963777,0.13979075876756797
Logistics Analysts,2.2930883260711683,0.29970390795206964,9.38637488138465,167808.2037018881,178769.1659005083,0.29981770762806503,0.020066587060629255,0.27276840004868547,0.19755089824579328,0.13576636738288803
Cost Estimators,2.4405612468260207,0.20804401666103786,9.865968840294187,535776.4105157163,202957.0732860519,0.34076071958208853,0.06708878602642436,0.3476705890044866,0.2518400315376665,0.1278703064503475
Computer and Information Systems Managers,1.5307119994774314,0.3371047749689725,5.87440166568685,988794.0303024363,287758.5487817623,0.0,0.12497934357505426,0.6102735517191007,0.245084298431385,0.12646602827180792
Legal Secretaries and Administrative Assistants,2.2510459154421993,0.3131728422363096,9.047473006296531,347876.6357724375,135783.08961947347,0.27088560107167037,0.043077307779128944,0.13965431304854659,0.1512057406331153,0.1065949737920653
Financial Quantitative Analysts,2.080398979355139,0.3587659475759685,8.065013376633422,152243.59730920906,162187.90443052663,0.1870128674511251,0.018077605390288555,0.22142155304974237,0.142170675297052,0.10611282418396879
Regulatory Affairs Managers,1.8384169088398357,0.4230035312626668,7.731199679138952,134535.34938889917,143322.9822131536,0.15851513941883588,0.015814690438329865,0.16300294138403504,0.11244425708040025,0.08744304612892571
Clinical Research Coordinators,2.002976266496381,0.31262029054916984,8.060699375034005,146577.80318220516,156152.02973605786,0.1866445804538156,0.017353580613675167,0.2027303856133711,0.13557618222695397,0.08489387663748836
"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",1.9035474503963092,0.22641498723225736,7.393219668385065,3308022.830247714,90685.00053688016,0.12966173256612867,0.42135070408611347,0.0,0.18367081221741408,0.07916059039594316
"Production, Planning, and Expediting Clerks",1.6932159952556447,0.3015030852430776,6.473065148921432,651888.1581734233,102304.11043334605,0.05110799603531757,0.08192656168074676,0.03598065558509034,0.056338404433718216,0.028761310202470466
